id,genus-name,genus-qid,genus-qid-url,genus-ipni-id,genus-ipni-id-url,genus-wfo-id,genus-wfo-id-url,genus-wfo-status,genus-powo-status,author-std-abbreviation,author1-qid,author2-qid,author3-qid,author4-qid,author5-qid,author1-qid-url,author2-qid-url,author3-qid-url,author4-qid-url,author5-qid-url,author-country,author-gender,author-female-flag,author-count,protologue-reference,protologue-pub-year,family-name-wfo,eponymy-derived-indirectly,eponymy-name,eponymy-count,eponymy-yob,eponymy-yod,eponymy-lifespan,eponymy-occupation,eponymy-author-relationship,eponymy-is-real,eponymy-is-mythical,eponymy-country,eponymy1-qid,eponymy2-qid,eponymy1-qid-url,eponymy2-qid-url,protologue-url,protologue-eponymy-stated,protologue-dedication-text,eponymy-wikipedia-url,eponymy-bionomia-url
21,Agnesia,Q771221,http://www.wikidata.org/entity/Q771221,30383072-2,https://www.ipni.org/n/30383072-2,wfo-4000000961,https://list.worldfloraonline.org/wfo-4000000961,Accepted,accepted,Zuloaga & Judz.,Q2198822,Q5831563,,,,http://www.wikidata.org/entity/Q2198822,http://www.wikidata.org/entity/Q5831563,,,,"Argentina, USA",MM,0,2,Novon 3(3): 306 (1993),1993,Poaceae,0,Mary Agnes Chase,1,1869,1963,1869–1963,"botanist, botanical collector, scientific illustrator",,1,0,USA,Q3822242,,http://www.wikidata.org/entity/Q3822242,,https://www.biodiversitylibrary.org/page/639214,1,"The genus is named in honor of Agnes Chase (1869-1963), outstanding American agrostologist and author of a monumentally complete and useful index of published grass names (Chase & Niles, 1962). Even today, Chase's handwritten notes on specimens and folders in the U.S. National Herbarium often provide welcome hints and time-saving insights into the identities and relationships of many grasses.",https://en.wikipedia.org/wiki/Mary_Agnes_Chase,https://bionomia.net/Q3822242
22,Alcantara,Q5766420,http://www.wikidata.org/entity/Q5766420,956775-1,https://www.ipni.org/n/956775-1,wfo-4000001116,https://list.worldfloraonline.org/wfo-4000001116,Synonym of Heterocoma DC.,synonym of Heterocoma DC.; nom. illeg.,Glaz. ex G.M.Barroso,Q1791098,,,,,http://www.wikidata.org/entity/Q1791098,,,,,Brazil,F,1,1,Loefgrenia 36: 1 (1969),1969,Asteraceae,0,Isabel & probably also Pedro II.,2,1846,1921,1846–1921,royalty (Princess Imperial of Brazil),,1,0,Brazil,Q464449,,http://www.wikidata.org/entity/Q464449,,,0,"Not explained in original publication, only reference is to Glaziou","https://en.wikipedia.org/wiki/Isabel,_Princess_Imperial_of_Brazil",Not in Bionomia
23,Alciope,Q87136138,http://www.wikidata.org/entity/Q87136138,327995-2,https://www.ipni.org/n/327995-2,wfo-4000001126,https://list.worldfloraonline.org/wfo-4000001126,Synonym of Capelio B.Nord.,synonym of Capelio B.Nord.,DC.,Q123057,,,,,http://www.wikidata.org/entity/Q123057,,,,,Switzerland,M,0,1,Prodr. [A.P. de Candolle] 5: 209 (1836),1836,Asteraceae,0,Alciope,1,,,n/a,mythological figure,,0,1,,Q109252229,,http://www.wikidata.org/entity/Q109252229,,https://www.biodiversitylibrary.org/page/151644,1,"Dixi ex Alciope nympha mythologica Celmisii matre, alludens ad hoc quod genus primum Celmisia dictum, alterum quasi peripit.",No English Wikipedia article,Mythical person
24,Alcmene,Q87180000,http://www.wikidata.org/entity/Q87180000,295801-2,https://www.ipni.org/n/295801-2,wfo-4000001127,https://list.worldfloraonline.org/wfo-4000001127,Synonym of Duguetia A.St.-Hil.,synonym of Duguetia A.St.-Hil.,Urb.,Q64845,,,,,http://www.wikidata.org/entity/Q64845,,,,,Germany,M,0,1,Repert. Spec. Nov. Regni Veg. 17: 166 (1921),1921,Annonaceae,0,Alkmene,1,,,n/a,mythological figure,,0,1,,Q190543,,http://www.wikidata.org/entity/Q190543,,https://www.biodiversitylibrary.org/page/181348,1,"Nomen praebuit Alkmene, Heraclis mater et neptis Persei",https://en.wikipedia.org/wiki/Alcmene,Mythical person
25,Alegria,Q87141218,http://www.wikidata.org/entity/Q87141218,30154815-2,https://www.ipni.org/n/30154815-2,wfo-4000001145,https://list.worldfloraonline.org/wfo-4000001145,Synonym of Luehea Willd.,synonym of Luehea Willd.,Moc. & Sessé ex DC.,Q123057,,,,,http://www.wikidata.org/entity/Q123057,,,,,Switzerland,M,0,1,Prodr. 1: 516 (1824),1824,Malvaceae,0,Josefa Manuela Micaela Alegría Yoldi,1,1768,unknown,1768–unknown,"wife of Miguel José de Azanza (1745-1826), Viceroy of New Spain and patron of the natural sciences",,1,0,"Mexico, Spain",Q110469021,,http://www.wikidata.org/entity/Q110469021,,https://www.biodiversitylibrary.org/page/154472,0,"Not explained in original publication, not in Fl. Mexicana ined.",No English Wikipedia article,Not in Bionomia
26,Alexa,Q4718070,http://www.wikidata.org/entity/Q4718070,21606-1,https://www.ipni.org/n/21606-1,wfo-4000001162,https://list.worldfloraonline.org/wfo-4000001162,Accepted,accepted,Moq.,Q55068622,,,,,http://www.wikidata.org/entity/Q55068622,,,,,France,M,0,1,Prodr. 13(2): 168 (1849),1849,Fabaceae,0,Alexandra Feodorovna,1,1798,1860,1798–1860,"Empress, consort, wife of Nicholas I of Russia",,1,0,Russia,Q57207,,http://www.wikidata.org/entity/Q57207,,https://www.biodiversitylibrary.org/page/159164,1,Alexandra Schomb. (Alexa Moq.),https://en.wikipedia.org/wiki/Alexandra_Feodorovna_(Charlotte_of_Prussia),Not in Bionomia
27,Algrizea,Q17443031,http://www.wikidata.org/entity/Q17443031,77073444-1,https://www.ipni.org/n/77073444-1,wfo-4000001180,https://list.worldfloraonline.org/wfo-4000001180,Accepted,accepted,Proença & NicLugh.,Q16302059,Q18646188,,,,http://www.wikidata.org/entity/Q16302059,http://www.wikidata.org/entity/Q18646188,,,,"Brazil, Ireland",FF,1,2,Syst. Bot. 31(2): 320 (-321) (2006),2006,Myrtaceae,0,Graziela Maciel Barroso,1,1912,2003,1912–2003,"botanist, botanical collector",,1,0,Brazil,Q1791098,,http://www.wikidata.org/entity/Q1791098,,https://doi.org/10.1600/036364406777585874 ; http://www.wikidata.org/entity/Q55763423,1,"The name Algrizea is an anagram of Graziela. The genus is named to honor the memory of Dra. Graziela Maciel Barroso, whose outstanding contribution to Brazilian botany in general, and to Myrtaceae in particular, stands in a class apart.",https://en.wikipedia.org/wiki/Graziela_Barroso,https://bionomia.net/Q1791098
28,Alicia,Q4726221,http://www.wikidata.org/entity/Q4726221,60442799-2,https://www.ipni.org/n/60442799-2,wfo-4000001190,https://list.worldfloraonline.org/wfo-4000001190,Accepted,accepted,W.R.Anderson,Q6167725,,,,,http://www.wikidata.org/entity/Q6167725,,,,,USA,M,0,1,Novon 16(2): 174 (2006),2006,Malpighiaceae,0,Alicia Lourteig,1,1913,2003,1913–2003,botanist,friend of author,1,0,"Argentina, France",Q454806,,http://www.wikidata.org/entity/Q454806,,https://www.biodiversitylibrary.org/page/11159806,1,"I am happy to name this genus in honor of my friend Alicia Lourteig (1913—2003), co-author of the first account of the Malpighiaceae of Argentina (O'Donell & Lourteig, 1943). During my 1981 visit to study the great wealth of Malpighiaceae in the herbarium of the Muséum National d'Histoire Naturelle in Paris. Dr Lourteig was unfailingly helpful and hospitable, making my stay in Paris both pleasant and profitable.",https://en.wikipedia.org/wiki/Alicia_Lourteig,https://bionomia.net/Q454806
29,Aliciella,Q3766523,http://www.wikidata.org/entity/Q3766523,295807-2,https://www.ipni.org/n/295807-2,wfo-4000001191,https://list.worldfloraonline.org/wfo-4000001191,Accepted,accepted,Brand,Q15975618,,,,,http://www.wikidata.org/entity/Q15975618,,,,,Germany,M,0,1,Helios 22: 77 (1905),1905,Polemoniaceae,0,Alice Eastwood,1,1859,1953,1859–1953,"botanist, botanical collector, botanical illustrator",colleague,1,0,"Canada, USA",Q460241,,http://www.wikidata.org/entity/Q460241,,,1,"Miss Alice Eastwood, Kurator des Herbariums in San Francisco, entdeckte im Jahre 1892 ... eine merkwürdige kleine Polemoniacee ... Da es sich somit als notwendig herausstellt, einen neuen Gattungsnamen zu wählen, so mag das merkwürdige Pflänzchen im Einverständnis mit der Entdeckerin künftig Aliciella triodon heissen. Ich nehme gern die Gelegenheit wahr, um jener um die botanische Wissenschaft hochverdienten Dame auch an dieser Stelle meinen Dank abzustatten für die freundliche Bereitwilligkeit, mit der sie mich durch Uebersendung von Litteratur und Pflanzenmaterial in meinen wissenschaftlichen Bestrebungen unterstützt hat.",https://en.wikipedia.org/wiki/Alice_Eastwood,https://bionomia.net/Q460241
30,Aliniella,Q97991506,http://www.wikidata.org/entity/Q97991506,13572-1,https://www.ipni.org/n/13572-1,wfo-4000001203,https://list.worldfloraonline.org/wfo-4000001203,Synonym of Cyperus L.,synonym of Cyperus L.,J.Raynal,Q5479976,,,,,http://www.wikidata.org/entity/Q5479976,,,,,France,M,0,1,"Adansonia, sér. 2, 13(2): 157 (1973)",1973,Cyperaceae,0,Aline Marie Raynal,1,1937,current,1937–current,"botanist, artist",colleague,1,0,France,Q429475,,http://www.wikidata.org/entity/Q429475,,https://www.biodiversitylibrary.org/page/59839426,1,"Genus Aliniae Raynal. dedicatum, cui gratiam tantam debeo ob permulta consilia optima amicissime data, laborem indefesse communiter perfectum, necnon mirabiles plantarum icônes tantis cura et arte et patientia delineatas.",https://en.wikipedia.org/wiki/Aline_Marie_Raynal,https://bionomia.net/Q429475
